portable operating systems
1. 3212 - 1.1578549
2. 1499 - 0.5134999
3. 3152 - 0.41478464
4. 2168 - 0.32732445
5. 2126 - 0.32093745
6. 2304 - 0.32087308
7. 2378 - 0.31223106
8. 2379 - 0.31223106
9. 2814 - 0.31223106
10. 1500 - 0.292883
11. 1775 - 0.292883
12. 1776 - 0.292883
13. 2667 - 0.28453776
14. 2699 - 0.28453776
15. 1798 - 0.27793998
16. 2434 - 0.27277038
17. 1281 - 0.27232444
18. 2137 - 0.27232444
19. 2549 - 0.27232444
20. 2944 - 0.27232444
21. 2441 - 0.26516923
22. 1974 - 0.25674996
23. 1726 - 0.2503885
24. 2917 - 0.24466223
25. 3108 - 0.24466223
26. 2691 - 0.24155264
27. 2440 - 0.23711482
28. 2608 - 0.23711482
29. 2702 - 0.23711482
30. 1795 - 0.23649412
31. 2376 - 0.23430642
32. 2489 - 0.23061535
33. 2195 - 0.22940199
34. 2208 - 0.22940199
35. 1799 - 0.22693703
36. 2380 - 0.22693703
37. 3030 - 0.22693703
38. 3031 - 0.22693703
39. 3260 - 0.2246562
40. 1260 - 0.22028238
41. 3226 - 0.22028238
42. 1359 - 0.21623692
43. 2003 - 0.21623692
44. 2589 - 0.21623692
45. 3284 - 0.21613221
46. 1981 - 0.2139154
47. 1982 - 0.2139154
48. 1270 - 0.20383708
49. 1800 - 0.20383708
50. 2853 - 0.20383708
51. 334 - 0.20129387
52. 2694 - 0.20129387
53. 3109 - 0.20129387
54. 2420 - 0.19572978
55. 2436 - 0.19256246
56. 3222 - 0.19256246
57. 2092 - 0.18356866
58. 3111 - 0.18356866
59. 2242 - 0.16306967
60. 2355 - 0.16306967
61. 2692 - 0.16306967
62. 1943 - 0.16103509
63. 2695 - 0.16103509
64. 718 - 0.16046873
65. 1692 - 0.16046873
66. 2152 - 0.16046873
67. 2652 - 0.16046873
68. 3054 - 0.16046873
69. 3089 - 0.16046873
70. 3133 - 0.16046873
71. 3190 - 0.16046873
72. 1099 - 0.14658073
73. 1803 - 0.14658073
74. 2873 - 0.14658073
75. 1557 - 0.12837498
76. 1859 - 0.12837498
77. 1905 - 0.12837498
